district,total_population,senior_population,senior_percentage,area_degrees,senior_density_per_deg,area_km2,senior_density_per_km2
Kuala Krai,111.8,37.4,33.4525939177102,0.1852011217999998,201.9426212784421,2287.9746587171976,0.01634633489383537
Machang,110.0,41.5,37.72727272727273,0.04349654355,954.0987998803864,537.3562990167001,0.07722994980414337
Machang,112.9,41.5,36.75819309123118,0.04349654355,954.0987998803864,537.3562990167001,0.07722994980414337
Machang,113.9,41.5,36.435469710272166,0.04349654355,954.0987998803864,537.3562990167001,0.07722994980414337
Machang,115.3,41.5,35.993061578490895,0.04349654355,954.0987998803864,537.3562990167001,0.07722994980414337
Machang,116.7,41.5,35.56126820908312,0.04349654355,954.0987998803864,537.3562990167001,0.07722994980414337
Pasir Mas,230.4,87.6,38.02083333333333,0.0466092808000002,1879.454016376917,575.8110550032025,0.15213323752443897
Pasir Mas,231.9,87.6,37.77490297542044,0.0466092808000002,1879.454016376917,575.8110550032025,0.15213323752443897
Pasir Mas,234.2,87.6,37.40392826643894,0.0466092808000002,1879.454016376917,575.8110550032025,0.15213323752443897
Pasir Mas,237.5,87.6,36.88421052631578,0.0466092808000002,1879.454016376917,575.8110550032025,0.15213323752443897
Pasir Mas,240.6,87.6,36.408977556109726,0.0466092808000002,1879.454016376917,575.8110550032025,0.15213323752443897
Pasir Puteh,136.2,51.2,37.59177679882526,0.0346914867999996,1475.866407662888,428.5786279271951,0.119464659839962
Pasir Puteh,137.4,51.2,37.26346433770015,0.0346914867999996,1475.866407662888,428.5786279271951,0.119464659839962
Pasir Puteh,138.9,51.2,36.861051115910726,0.0346914867999996,1475.866407662888,428.5786279271951,0.119464659839962
Pasir Puteh,141.0,51.2,36.312056737588655,0.0346914867999996,1475.866407662888,428.5786279271951,0.119464659839962
Pasir Puteh,143.0,51.2,35.80419580419581,0.0346914867999996,1475.866407662888,428.5786279271951,0.119464659839962
Tanah Merah,150.8,50.9,33.753315649867375,0.07138342445,713.050689178585,881.8708256553,0.057718203754135146
Tanah Merah,152.4,50.9,33.3989501312336,0.07138342445,713.050689178585,881.8708256553,0.057718203754135146
Tanah Merah,153.7,50.9,33.116460637605726,0.07138342445,713.050689178585,881.8708256553,0.057718203754135146
Tanah Merah,156.1,50.9,32.607303010890455,0.07138342445,713.050689178585,881.8708256553,0.057718203754135146
Tanah Merah,158.4,50.9,32.13383838383838,0.07138342445,713.050689178585,881.8708256553,0.057718203754135146
Tumpat,179.9,62.7,34.8526959421901,0.0147042896000002,4264.061828597201,181.65679371840247,0.3451563727211611
Tumpat,181.7,62.7,34.50742982938911,0.0147042896000002,4264.061828597201,181.65679371840247,0.3451563727211611
Tumpat,183.7,62.7,34.13173652694611,0.0147042896000002,4264.061828597201,181.65679371840247,0.3451563727211611
Tumpat,186.5,62.7,33.61930294906166,0.0147042896000002,4264.061828597201,181.65679371840247,0.3451563727211611
Tumpat,189.1,62.7,33.15705975674247,0.0147042896000002,4264.061828597201,181.65679371840247,0.3451563727211611
Alor Gajah,249.4,81.2,32.55813953488372,0.0543311044499997,1494.5398372073837,671.2064643752964,0.12097618886250487
Alor Gajah,251.0,81.2,32.35059760956175,0.0543311044499997,1494.5398372073837,671.2064643752964,0.12097618886250487
Alor Gajah,251.8,81.2,32.24781572676728,0.0543311044499997,1494.5398372073837,671.2064643752964,0.12097618886250487
